Employee_ID,Name,Age,Department,Salary,Join_Date
1,Andrew Brown,44,HR,93435.89,2022-08-03
2,Adam Fowler,28,Operations,107519.14,2024-05-04
3,Jeff Fritz,33,Sales,109788.57,2021-11-05
4,Mike Powers,34,Operations,74557.06,2023-11-06
5,Luis Clark,28,Marketing,81046.08,2015-11-24
6,Dr. Jamie Mason,27,Operations,43121.27,2024-10-14
7,Mark Patel,36,Finance,76979.57,2023-01-26
8,Dale Gonzalez,38,IT,85983.1,2025-04-11
9,Robert Watson,47,Operations,83586.67,2016-08-02
10,John Price,32,HR,99827.25,2019-01-25
11,Taylor Garner,32,Sales,105657.45,2015-08-09
12,Victoria Simon,55,Operations,58951.62,2018-09-02
13,Kimberly Le,46,Operations,117831.76,2018-08-21
14,Jeffrey Atkins,29,Operations,119536.9,2025-03-10
15,Michelle Sullivan,54,HR,43897.95,2015-08-04
16,Justin Vasquez,31,Operations,108743.14,2019-08-04
17,Felicia Whitney,42,Operations,71096.96,2024-07-16
18,James Kelly,53,HR,58922.72,2019-10-05
19,Amy Johnson,54,IT,95061.66,2020-01-12
20,Jessica Webster,43,HR,92148.05,2023-03-15
21,Ian French,58,Operations,41349.23,2019-12-14
22,Donald George,32,Marketing,111681.35,2023-09-13
23,Jennifer Contreras,27,Sales,71000.34,2019-02-06
24,Kimberly Phillips,37,IT,54923.39,2021-01-08
25,Timothy Owens,41,Marketing,109962.04,2017-06-28
26,Steven Nelson,42,IT,111853.82,2016-03-28
27,Jennifer Boyle,59,HR,41634.33,2023-01-11
28,Samantha Thomas,42,Finance,111088.28,2020-10-30
29,George Morris,46,Marketing,74468.47,2017-09-21
30,Hunter Nolan,38,Sales,119857.56,2017-10-18
31,Stephanie Benton,31,IT,52364.54,2016-08-24
32,Heather Reese,44,Marketing,33966.83,2022-11-26
33,Elizabeth Lynch,32,Sales,42341.34,2022-06-15
34,Timothy Clarke,45,Finance,61841.1,2017-10-24
35,Jeremy Hunt,53,HR,56131.71,2019-10-23
36,Mckenzie Miller,52,Sales,65734.29,2019-06-22
37,Lawrence Rivera,44,Sales,74307.87,2023-08-26
38,James Mcbride,38,Marketing,104065.1,2016-06-09
39,Dr. Kenneth White,41,HR,33885.56,2024-08-10
40,Stephanie Spencer,51,HR,75324.14,2021-09-25
41,David Clark,49,Finance,94844.09,2016-08-07
42,Austin Vincent,27,HR,84726.87,2019-09-07
43,Hannah Moreno,55,HR,66811.71,2019-05-02
44,Teresa Ramirez,60,Marketing,95042.35,2024-02-12
45,Brian Taylor,22,HR,70067.98,2019-06-18
46,Gregory Green,33,Sales,116280.4,2019-05-25
47,Michael Keith,23,Marketing,61938.54,2022-05-14
48,Anthony Hansen,31,Marketing,68072.34,2016-03-19
49,Angelica Garcia,46,Marketing,112234.4,2018-04-05
50,Suzanne Singleton,50,Operations,73785.61,2023-04-15
51,Richard Lawrence,48,IT,99509.77,2020-03-07
52,Kristen Keller,47,Finance,33928.53,2022-06-08
53,Phillip Thompson,42,Sales,104799.45,2021-06-18
54,Justin Barton,50,Marketing,115739.05,2016-04-03
55,Anthony Martin,58,Marketing,106547.33,2022-08-19
56,Michelle Carson,47,Sales,34152.78,2019-05-27
57,Nathan Mcguire,56,Operations,33868.84,2023-11-26
58,Renee Tran,56,Marketing,78589.93,2020-09-08
59,Christopher Taylor DVM,28,Operations,106090.92,2023-03-11
60,Brendan Tapia,26,Finance,51992.96,2019-01-31
61,Christian Ingram,57,HR,68540.41,2015-10-22
62,Julie Barnes,35,Finance,87227.18,2023-11-15
63,Casey Miranda,56,Marketing,83318.78,2021-12-27
64,Nicole Adams,60,Sales,45603.01,2017-09-14
65,Laura Hoffman,30,IT,63023.42,2017-07-31
66,Blake Wang,53,Finance,99202.28,2019-11-13
67,Megan Wheeler,56,Operations,67630.24,2021-03-03
68,Denise Carpenter,57,Marketing,67116.01,2017-12-24
69,John Sullivan,47,Operations,107642.18,2017-12-25
70,Reginald Hampton,27,Sales,111860.82,2016-09-25
71,Jasmine Burgess,34,Operations,73793.35,2021-06-05
72,Hannah Hill,41,Finance,56909.8,2025-04-18
73,Sara Hunter,32,Finance,114103.18,2017-04-03
74,Christine Hunter,34,HR,73179.26,2020-12-07
75,Cristian Hill,53,Marketing,59087.73,2021-12-12
76,Lindsey Hunt,28,Finance,41931.49,2020-11-03
77,James Ali,59,HR,68354.2,2020-07-01
78,Crystal Craig,47,Marketing,112028.5,2022-07-02
79,Timothy Palmer,56,Operations,41292.37,2016-02-08
80,Tracy Silva,48,HR,99427.4,2017-10-25
81,Tasha Ayala,29,Operations,77438.04,2017-10-12
82,Joseph Cole,34,Operations,51715.1,2022-08-23
83,Richard Wolfe,35,Sales,112632.53,2019-06-26
84,Carol Berg,38,Sales,66831.32,2016-05-30
85,Katherine Powell,45,HR,75873.21,2024-03-20
86,Alan Winters,34,Operations,41601.4,2017-02-20
87,Fred West,59,Sales,92206.98,2016-08-04
88,Ashley Dominguez,22,Sales,39216.32,2023-02-11
89,Angela Ryan,50,Marketing,106762.03,2017-12-18
90,Wayne White,50,HR,83824.27,2020-09-16
91,Brandon Greene,51,Finance,97842.38,2023-12-11
92,Christine Cooper,43,Operations,48351.51,2019-03-28
93,Sophia Montoya,46,IT,104499.39,2016-11-22
94,Theresa Mendoza,42,Sales,64239.64,2021-06-19
95,Eric Sanders,29,Marketing,38109.85,2021-10-12
96,Theresa Harper,57,Sales,44507.59,2022-04-25
97,Christopher Esparza,57,IT,72985.84,2019-10-31
98,John Mccullough,54,Operations,48738.66,2017-08-22
99,Vicki Alvarez,40,Finance,69510.56,2020-05-31
100,Jody Pennington,41,Operations,49661.53,2018-06-09
101,Brittany Guzman,24,HR,118289.97,2016-06-22
102,Emily Jones,53,IT,42976.36,2022-01-17
103,Todd Brown,50,Marketing,80856.6,2019-02-18
104,Jessica Lee,22,Finance,95351.46,2018-05-13
105,Robert Shaw,58,Operations,40179.3,2022-09-07
106,David Perry,23,Sales,90709.1,2019-11-21
107,Daniel Baxter,44,Marketing,117222.47,2018-04-15
108,Jose Johnson,25,IT,48898.87,2020-12-23
109,Kristen Trujillo,46,Operations,61345.82,2017-06-20
110,Christopher Hudson,54,Finance,67770.88,2019-08-06
111,Kim Sanchez,45,Finance,92819.57,2024-12-10
112,Ashley Moore,35,IT,30957.7,2018-12-19
113,Gregory Gonzalez,42,Operations,80007.23,2020-11-14
114,Daniel Moore,35,HR,38712.13,2022-01-10
115,Melinda Cox,26,Operations,68551.02,2025-03-19
116,Natasha Wilson,55,HR,85198.1,2024-02-20
117,Jeffrey Parker,54,Finance,55672.29,2020-11-01
118,Michael Wright,25,HR,112720.68,2015-11-09
119,Robert Pearson,30,Finance,32993.55,2022-01-03
120,Joan Thomas,28,Marketing,110514.28,2016-10-22
